magnitude,depth,distance,vs30,azimuth,mmi,event_id
4.3,10.9,198.16296682095864,204.5,241.40877221178812,2.9,us6000sn3a
4.3,10.9,254.27988899700097,433.0,141.45933563862695,2.6,us6000sn3a
4.3,10.9,184.82412650837514,356.2,141.57576453610318,2.9,us6000sn3a
4.3,10.9,124.3255865352132,426.0,21.12783768175484,3.1,us6000sn3a
4.3,10.9,215.6147451746823,317.8,143.1005675443377,2.8,us6000sn3a
4.3,10.9,80.38760614697426,778.9,328.71111351714876,3.2,us6000sn3a
4.3,10.9,175.30580305153404,706.1,177.11582400877683,2.8,us6000sn3a
4.3,10.9,166.1453358120781,528.1,243.94212323442272,2.9,us6000sn3a
4.3,10.9,115.65409608532761,745.4,319.11410830064244,3.0,us6000sn3a
4.3,10.9,238.1018990025091,323.3,232.88414428245363,2.7,us6000sn3a
4.3,10.9,193.68364127215622,558.7,331.40706893253514,2.8,us6000sn3a
4.3,10.9,97.67439029031827,587.4,325.8310503344872,3.2,us6000sn3a
4.3,10.9,172.01054927192754,565.3,320.2477379413965,2.9,us6000sn3a
4.3,10.9,139.8472907020405,778.1,283.4304294071462,2.9,us6000sn3a
4.3,10.9,168.80154964258375,321.8,154.68672191265728,3.0,us6000sn3a
4.3,10.9,254.97960689434248,464.5,130.8540169484873,2.6,us6000sn3a
4.3,10.9,140.67210769156443,796.1,198.6438615822877,2.9,us6000sn3a
4.3,10.9,95.50602471999805,303.0,52.06790449825519,3.3,us6000sn3a
4.3,10.9,122.0513984613206,436.8,102.80260440815499,3.1,us6000sn3a
4.3,10.9,90.02018204732445,281.2,58.773338596777194,3.3,us6000sn3a
4.3,10.9,103.69611865416897,335.1,75.72250965737015,3.3,us6000sn3a
4.3,10.9,162.32965799794948,287.5,31.455846540751054,3.0,us6000sn3a
4.3,10.9,60.04083472064825,726.9,245.577273865517,3.3,us6000sn3a
4.3,10.9,146.26570475971874,272.8,80.08796322325509,3.1,us6000sn3a
4.3,10.9,202.32066907431417,597.6,188.5687438798404,2.8,us6000sn3a
4.3,10.9,136.94839497244305,276.8,54.54510129160542,3.1,us6000sn3a
4.3,10.9,98.26300084233459,430.5,0.054052523051211665,3.2,us6000sn3a
4.3,10.9,152.14699636558416,470.7,326.1989698434925,3.0,us6000sn3a
4.3,10.9,240.13840167091672,285.3,37.98181965605437,2.7,us6000sn3a
4.3,10.9,195.0586050499192,295.7,99.00655564129858,2.9,us6000sn3a
4.3,10.9,170.6235001182143,341.8,37.218646125402984,3.0,us6000sn3a
4.3,10.9,59.198310507683885,575.9,189.83810010046065,3.4,us6000sn3a
4.3,10.9,123.25283893371005,837.8,195.94508327315177,3.0,us6000sn3a
4.3,10.9,214.7757712708001,302.4,112.54222291633158,2.8,us6000sn3a
4.3,10.9,257.5477713626395,231.2,43.1460871611896,2.7,us6000sn3a
4.3,10.9,135.02449324721013,701.5,239.37580338235205,3.0,us6000sn3a
4.3,10.9,208.6640899502261,489.2,207.65374982396608,2.8,us6000sn3a
4.3,10.9,220.32193043967726,329.2,57.159060708366724,2.8,us6000sn3a
4.3,10.9,225.6366274444787,460.4,322.84946170331784,2.7,us6000sn3a
4.3,10.9,229.331162948211,259.6,30.697557414572657,2.8,us6000sn3a
4.3,10.9,108.68811495849222,687.3,293.9314034429091,3.1,us6000sn3a
4.3,10.9,77.05815253989041,418.8,184.03020080796642,3.4,us6000sn3a
4.3,10.9,149.69366162578524,360.9,236.0858052156949,3.1,us6000sn3a
4.3,10.9,153.6946425276106,236.0,269.07435160554985,3.1,us6000sn3a
4.3,10.9,209.4920632819786,326.2,328.00155311116606,2.8,us6000sn3a
4.3,10.9,208.55342607071378,423.9,319.08730219403884,2.8,us6000sn3a
4.3,10.9,180.50551219035557,448.5,325.5449326133721,2.9,us6000sn3a
4.3,10.9,246.64124035907895,230.2,43.628312914640674,2.7,us6000sn3a
4.3,10.9,173.89360437956805,469.0,174.99468678995277,2.9,us6000sn3a
4.3,10.9,185.96518527255157,327.0,72.96902446363123,2.9,us6000sn3a
4.3,10.9,160.0684438345001,291.8,281.14346233466574,3.0,us6000sn3a
4.3,10.9,199.22762688128864,354.7,41.897988706202966,2.9,us6000sn3a
4.3,10.9,92.65900245013496,420.3,141.05341645789298,3.3,us6000sn3a
4.3,10.9,199.6282907487077,409.6,341.4755989793795,2.8,us6000sn3a
4.3,10.9,169.06543556895375,482.7,139.78424165162687,2.9,us6000sn3a
4.3,10.9,203.95253017895075,287.0,342.79412462737105,2.9,us6000sn3a
4.3,10.9,270.9420556457703,449.6,136.8021006729058,2.6,us6000sn3a
4.3,10.9,181.70148658869925,528.1,298.7929102117268,2.9,us6000sn3a
4.3,10.9,145.6498256936348,634.2,250.31738301519658,3.0,us6000sn3a
4.3,10.9,103.4286764987446,387.6,228.03618076373135,3.2,us6000sn3a
4.3,10.9,72.08593255601097,393.8,143.89786315676673,3.4,us6000sn3a
4.3,10.9,96.99583805830075,280.1,59.94216415352844,3.3,us6000sn3a
4.3,10.9,56.559869246474854,785.6,203.61194015157307,3.4,us6000sn3a
4.3,10.9,122.90699705007978,345.1,250.5215003935319,3.2,us6000sn3a
4.3,10.9,73.39213771490489,296.1,56.90237107357228,3.4,us6000sn3a
4.3,10.9,185.36912944727408,573.1,0.49973347591082984,2.8,us6000sn3a
4.3,10.9,173.3082133952034,433.4,200.87146500032952,2.9,us6000sn3a
4.3,10.9,244.46406107933228,286.7,132.804419362717,2.7,us6000sn3a
4.3,10.9,70.98244367562081,428.4,37.04205495995933,3.3,us6000sn3a
4.3,10.9,217.08349564730912,543.3,222.46542202726422,2.7,us6000sn3a
4.3,10.9,109.16428089949926,339.2,104.42553481399625,3.2,us6000sn3a
4.3,10.9,149.78219383033536,312.1,102.06936808040501,3.1,us6000sn3a
4.3,10.9,153.43226343780057,724.8,17.225479574285032,2.9,us6000sn3a
4.3,10.9,137.00649396147824,726.1,318.3603435746341,3.0,us6000sn3a
4.3,10.9,59.51152824837546,382.5,185.21231052849024,3.5,us6000sn3a
4.3,10.9,184.05786452126486,349.2,161.87796715552452,2.9,us6000sn3a
4.3,10.9,197.66449343234657,456.3,192.9915321615231,2.8,us6000sn3a
4.3,10.9,117.40086273131936,302.0,214.25604325503645,3.2,us6000sn3a
4.3,10.9,252.25763541972645,569.2,137.09455371867944,2.6,us6000sn3a
4.3,10.9,181.56121529607597,455.3,174.19728874990733,2.9,us6000sn3a
4.3,10.9,146.29153298986574,234.1,98.31076502412435,3.1,us6000sn3a
4.3,10.9,157.03291570773268,236.8,100.7700068613675,3.1,us6000sn3a
4.3,10.9,228.5908055364355,284.4,41.64757257439669,2.8,us6000sn3a
4.3,10.9,187.80387359193944,269.9,146.69889544377713,2.9,us6000sn3a
4.3,10.9,73.41417658490809,752.9,230.13702002651266,3.2,us6000sn3a
4.3,10.9,239.3596816269233,322.4,220.0568963127135,2.7,us6000sn3a
4.3,10.9,175.61914736144894,278.4,292.81414315766983,3.0,us6000sn3a
4.3,10.9,186.12553966434268,366.1,309.65439747005615,2.9,us6000sn3a
4.3,10.9,101.04568739931054,461.0,322.2740773378004,3.2,us6000sn3a
4.3,10.9,197.77934361042628,360.3,302.1546428421515,2.9,us6000sn3a
4.3,10.9,190.80007728794317,522.5,189.80570371691056,2.8,us6000sn3a
4.3,10.9,199.45127444558577,262.3,24.771337711657907,2.9,us6000sn3a
4.3,10.9,232.96868446092464,312.1,126.37259107381954,2.8,us6000sn3a
4.3,10.9,159.04997870259552,586.0,336.3846493656926,2.9,us6000sn3a
4.3,10.9,168.80025300774008,446.9,203.77159300480955,2.9,us6000sn3a
4.3,10.9,24.77069077468167,498.8,30.435120935797613,3.8,us6000sn3a
4.3,10.9,34.902591206524015,642.5,10.411873655596764,3.5,us6000sn3a
4.3,10.9,184.24108637593181,293.2,258.92382723459593,2.9,us6000sn3a
4.3,10.9,157.61288183395493,305.9,1.4268899021384982,3.0,us6000sn3a
4.3,10.9,242.82128384907685,325.9,122.48297974764984,2.7,us6000sn3a
4.3,10.9,171.59918085125074,409.5,219.7801792405698,2.9,us6000sn3a
4.3,10.9,236.34326244352894,253.3,131.28618938615807,2.8,us6000sn3a
4.3,10.9,201.559156863181,350.3,94.42319402882151,2.9,us6000sn3a
4.3,10.9,81.00077220360883,649.0,43.67959634565045,3.2,us6000sn3a
4.3,10.9,32.729508590103244,433.1,273.4051286890642,3.8,us6000sn3a
4.3,10.9,213.76409710123843,359.0,39.471276024692884,2.8,us6000sn3a
4.3,10.9,202.2390038110201,321.5,15.599294570958705,2.9,us6000sn3a
4.3,10.9,58.10272098864549,343.3,109.363043205277,3.5,us6000sn3a
4.3,10.9,55.141422794424564,339.6,34.40617061197685,3.5,us6000sn3a
4.3,10.9,205.22461236259323,248.3,59.98456859904553,2.9,us6000sn3a
4.3,10.9,86.30216829258764,703.3,260.3774875796836,3.2,us6000sn3a
4.3,10.9,188.40324043142826,470.8,14.143350921232809,2.8,us6000sn3a
4.3,10.9,176.27335044539484,251.9,272.02600114442953,3.0,us6000sn3a
4.3,10.9,20.05331090621852,322.5,59.277320583454525,4.1,us6000sn3a
4.3,10.9,172.7323665821801,240.0,104.74938607228177,3.0,us6000sn3a
4.3,10.9,215.56867701509262,192.9,242.6144761677846,2.8,us6000sn3a
4.3,10.9,136.16782067373146,612.7,278.6238950553576,3.0,us6000sn3a
4.3,10.9,232.40860739021258,322.7,312.57355910364396,2.8,us6000sn3a
4.3,10.9,177.0331088695025,363.0,178.17116294937773,2.9,us6000sn3a
4.3,10.9,110.63479348851479,292.7,74.6207042689548,3.2,us6000sn3a
4.3,10.9,48.71763069414765,692.5,241.78032172038826,3.5,us6000sn3a
4.3,10.9,172.8669659522541,429.5,222.17958840156598,2.9,us6000sn3a
4.3,10.9,145.78627241314547,423.8,334.7168056331918,3.0,us6000sn3a
4.3,10.9,19.029681999576983,416.6,227.23023113348367,4.1,us6000sn3a
4.3,10.9,153.60346989862558,456.6,252.5179950480391,3.0,us6000sn3a
4.3,10.9,194.85789694677723,332.9,112.4263068728161,2.9,us6000sn3a
4.3,10.9,189.6986158645566,649.7,161.1660944128596,2.8,us6000sn3a
4.3,10.9,184.4937216883866,584.1,182.19162301859092,2.8,us6000sn3a
4.3,10.9,59.02638860842226,880.4,196.9163721115577,3.4,us6000sn3a
4.3,10.9,144.43698559570245,288.6,75.84634121086992,3.1,us6000sn3a
4.3,10.9,184.62806001760504,228.4,85.1375763215118,2.9,us6000sn3a
4.3,10.9,51.09479014672474,271.1,356.613650965523,3.5,us6000sn3a
4.3,10.9,169.53825658143725,196.7,254.947079309556,3.0,us6000sn3a
4.3,10.9,131.68089449733458,295.0,129.50867490612433,3.2,us6000sn3a
4.3,10.9,52.036043799793845,775.5,216.91382357954677,3.4,us6000sn3a
4.3,10.9,196.47322199176577,306.1,194.98074670727476,2.9,us6000sn3a
4.3,10.9,168.99645551705405,319.8,78.76183668196995,3.0,us6000sn3a
4.3,10.9,122.87160257250513,386.1,38.093901951047314,3.2,us6000sn3a
4.3,10.9,205.60941089375498,318.6,131.03602470448476,2.9,us6000sn3a
4.3,10.9,177.90415164773728,390.1,347.0820685905632,2.9,us6000sn3a
4.3,10.9,253.6416097756265,558.8,137.37507213033894,2.6,us6000sn3a
4.3,10.9,164.82657727580937,230.6,267.5890417090048,3.0,us6000sn3a
4.3,10.9,187.8624756781846,268.5,103.45210958421768,2.9,us6000sn3a
4.3,10.9,100.71934254004859,582.4,190.31357995830442,3.2,us6000sn3a
4.3,10.9,121.37877329863564,403.4,34.99483842129291,3.2,us6000sn3a
4.3,10.9,204.9397512408274,250.6,219.33197024831443,2.9,us6000sn3a
4.3,10.9,98.56972581006261,541.4,196.66062569885145,3.2,us6000sn3a
4.3,10.9,136.32394248352927,600.9,318.0998856523787,3.0,us6000sn3a
4.3,10.9,159.5455249882404,456.5,347.5251750729731,3.0,us6000sn3a
4.3,10.9,167.52021297291,218.9,73.79268072204354,3.0,us6000sn3a
4.3,10.9,225.46494730216395,323.0,320.3001492784948,2.8,us6000sn3a
4.3,10.9,123.20524069543937,567.9,285.1796789624638,3.1,us6000sn3a
4.3,10.9,31.502590410379415,240.5,182.68307663849336,3.9,us6000sn3a
4.3,10.9,105.45569877924521,365.5,90.68115103642151,3.2,us6000sn3a
4.3,10.9,168.70995287581457,664.2,241.17280457497188,2.9,us6000sn3a
4.3,10.9,112.44568553128389,282.0,65.864186909208,3.2,us6000sn3a
4.3,10.9,140.0653648996646,458.5,343.76547729637866,3.0,us6000sn3a
4.3,10.9,72.32995026274516,382.0,83.13650575244901,3.4,us6000sn3a
4.3,10.9,154.77141357527742,237.8,91.94308372519436,3.1,us6000sn3a
4.3,10.9,173.14380785545907,511.6,204.00721608726326,2.9,us6000sn3a
4.3,10.9,105.59337892677891,319.0,139.53793085262157,3.3,us6000sn3a
4.3,10.9,159.56051799076894,552.7,164.41335236373357,2.9,us6000sn3a
4.3,10.9,178.58342262436918,323.4,37.10968802678673,3.0,us6000sn3a
4.3,10.9,183.32068640535064,230.1,269.67288082070996,2.9,us6000sn3a
4.3,10.9,176.73490447503843,364.0,341.8250588721959,2.9,us6000sn3a
4.3,10.9,145.5191799643864,435.9,227.3767437018753,3.0,us6000sn3a
4.3,10.9,176.3069202413105,456.8,233.98637786567116,2.9,us6000sn3a
4.3,10.9,237.38398897050087,238.2,55.48257730029849,2.7,us6000sn3a
4.3,10.9,201.92760017968146,568.1,330.4666201595782,2.8,us6000sn3a
4.3,10.9,205.1262180356196,792.6,163.06429765933467,2.7,us6000sn3a
4.3,10.9,83.36341265884053,658.3,188.62315297593125,3.2,us6000sn3a
4.3,10.9,136.55607440286988,237.9,108.61881965066743,3.1,us6000sn3a
4.3,10.9,75.35692356573085,384.7,130.4661620310818,3.4,us6000sn3a
